Year,Team,EFG,Turnover Percentage,Assists,Playoff Rank
2015,GSW,0.54,13.1,2248,1
2015,HOU,0.512,15,1820,3
2015,LAC,0.533,11.6,2031,4
2015,POR,0.508,12.6,1799,5
2015,ATL,0.527,13.5,2111,4
2015,CLE,0.52,13.4,1814,2
2015,CHI,0.489,12.9,1781,4
2015,TOR,0.508,12,1701,5
2014,SAS,0.537,13.5,2064,1
2014,OKC,0.52,14,1794,3
2014,LAC,0.526,12.7,2016,4
2014,HOU,0.531,14.6,1755,5
2014,IND,0.49,14.3,1651,3
2014,MIA,0.554,14.6,1847,2
2014,TOR,0.498,13.2,1737,5
2014,CHI,0.471,14.2,1860,5
2013,OKC,0.527,14.4,1753,4
2013,SAS,0.531,14,2058,2
2013,DEN,0.515,13.6,2002,5
2013,LAC,0.526,13.9,1958,5
2013,MIA,0.552,13.7,1890,1
2013,NYK,0.515,11.7,1579,4
2013,IND,0.479,14.3,1645,3
2013,BRK,0.498,14,1668,5
2012,SAS,0.528,12.8,1528,3
2012,OKC,0.516,15.3,1224,2
2012,LAL,0.491,14.2,1485,4
2012,MEM,0.473,13.6,1290,5
2012,CHI,0.49,13.2,1527,5
2012,MIA,0.505,14.5,1317,1
2012,IND,0.474,13.1,1228,4
2012,BOS,0.496,14.7,1557,3
2011,SAS,0.527,12.8,1836,5
2011,LAL,0.502,12.3,1801,4
2011,DAL,0.525,13.6,1954,1
2011,OKC,0.501,13.1,1672,3
2011,CHI,0.501,13.5,1827,3
2011,MIA,0.524,13.5,1639,2
2011,BOS,0.519,14.5,1921,4
2011,ORL,0.521,14.3,1636,5
2010,LAL,0.496,12.4,1730,1
2010,DAL,0.506,12.3,1917,5
2010,PHO,0.491,11.6,1912,4
2010,DEN,0.509,12.7,1719,5
2010,CLE,0.532,13.4,1835,4
2010,ORL,0.536,13.6,1615,3
2010,ATL,0.506,11.4,1789,4
2010,BOS,0.522,14.5,1930,2
